Name,Message Size (Bytes),Sleep Time (ms),Concurrent Users,M * C,M * S,S * C,M * S * C,M / C,M / S,C / M,C / S,S / M,S / C,M / S * C,S / M * C,C / M * S,1 / M * C * S,N * C,,# Samples,Error Count,Error %,Average (ms),Min (ms),Max (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput,Received (KB/sec),Sent (KB/sec),API Manager GC Throughput (%),API Manager Footprint (M),API Manager Average of Footprint After Full GC (M),API Manager Standard Deviation of Footprint After Full GC (M),Netty Service GC Throughput (%),Netty Service Footprint (M),Netty Service Average of Footprint After Full GC (M),Netty Service Standard Deviation of Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Footprint (M),JMeter Client Average of Footprint After Full GC (M),JMeter Client Standard Deviation of Footprint After Full GC (M),JMeter Server 01 GC Throughput (%),JMeter Server 01 Footprint (M),JMeter Server 01 Average of Footprint After Full GC (M),JMeter Server 01 Standard Deviation of Footprint After Full GC (M),JMeter Server 02 GC Throughput (%),JMeter Server 02 Footprint (M),JMeter Server 02 Average of Footprint After Full GC (M),JMeter Server 02 Standard Deviation of Footprint After Full GC (M),API Manager Load Average - Last 1 minute,API Manager Load Average - Last 5 minutes,API Manager Load Average - Last 15 minutes,Netty Service Load Average - Last 1 minute,Netty Service Load Average - Last 5 minutes,Netty Service Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes,JMeter Server 01 Load Average - Last 1 minute,JMeter Server 01 Load Average - Last 5 minutes,JMeter Server 01 Load Average - Last 15 minutes,JMeter Server 02 Load Average - Last 1 minute,JMeter Server 02 Load Average - Last 5 minutes,JMeter Server 02 Load Average - Last 15 minutes
Echo API,50,0,200,10000,0,0,0,0.25,11.0733333334,4,3.6666666667,0,0,20563.3333333334,,,,200,,3244990,0,0,36.83,1,3171,60,79,2044.39,5414.28,2014.49,1554.49,92.7,4017,679.4,378.43,99.95,3925.5,,,99.68,2048,,,99.74,4096,17.05,8181.93,99.77,4096,12.4,1448.16,13.85,13.2,10.89,0.28,0.17,0.12,0.19,0.12,0.13,,,,,,
Echo API,50,0,300,15000,0,0,0,0.1666666667,11.0733333334,6,3.6666666667,0,0,20563.3333333334,,,,300,,3377059,0,0,53.19,1,5638,89,114,253.99,5628,2094.01,1615.85,92.88,4015.5,553.69,332.88,99.95,3925.5,,,99.66,2048,,,99.76,4096,15.1,5357.75,99.74,4096,16,6660.95,12.27,13.68,11.99,0.31,0.34,0.24,0.05,0.07,0.11,,,,,,
Echo API,50,0,1000,50000,0,0,0,0.05,11.0733333334,20,3.6666666667,0,0,20563.3333333334,,,,1000,,3250339,0,0,184.3,2,4391,317,364,455,5420.75,2016.9,1556.35,92.43,4007,688.9,406.76,99.91,3925.5,,,99.68,2048,,,99.68,4096,27.3,22.49,99.7,4096,24.8,18.95,6.13,13.08,12.96,0.12,0.43,0.55,0.9,0.33,0.21,,,,,,
Echo API,50,0,2000,100000,0,0,0,0.025,11.0733333334,40,3.6666666667,0,0,20563.3333333334,,,,2000,,3181914,0,0,376.29,3,5535,571,627.95,738,5309.38,1975.46,1524.37,91.15,3986,824.09,458.17,99.87,3925.5,,,99.68,2048,,,99.64,4096,36.95,36.13,99.64,4096,35.75,34.44,2.69,11.94,13.32,0.03,0.27,0.4,0.94,0.42,0.27,,,,,,
Echo API,50,30,100,5000,1500,3000,150000,0.5,1.6666666667,2,3.3333333333,0.6,0.3,166.6666666667,,,,100,,1764385,0,0,33.93,31,1653,36,39,138.25,2941.2,1094.33,844.44,96.43,3998,447.42,339.51,99.96,3925.5,,,99.57,2048,,,99.84,4096,15.4,5792.62,99.84,4096,14.45,4416.59,4.41,4.54,7.47,0,0.02,0.14,0.07,0.06,0.14,,,,,,
Echo API,50,30,200,10000,1500,6000,300000,0.25,1.6666666667,4,6.6666666667,0.6,0.15,333.3333333333,,,,200,,2603190,0,0,45.96,31,2676,60,75,176,4342.93,1615.87,1246.9,94.81,4002,428.67,255.75,99.95,3925.5,,,99.66,2048,,,99.79,4096,15.5,5936.87,99.79,4096,15.1,5357.75,9.43,8.58,7.47,0.34,0.32,0.22,0.04,0.08,0.12,,,,,,
Echo API,50,30,300,15000,1500,9000,450000,0.1666666667,1.6666666667,6,10,0.6,0.1,500,,,,300,,2966106,0,0,60.49,31,2101,82,116,188,4950.42,1841.9,1421.31,93.53,4007.5,566.58,341.23,99.95,3925.5,,,99.68,2048,,,99.77,4096,17.15,8326.89,99.76,4096,16.45,7312.9,7.26,9.91,8.83,0.22,0.28,0.22,0.24,0.13,0.14,,,,,,
Echo API,50,30,2000,100000,1500,60000,3000000,0.025,1.6666666667,40,66.6666666667,0.6,0.015,3333.3333333333,,,,2000,,3155197,0,0,379.54,39,4444,547,632.95,874,5264.91,1958.92,1511.6,90.76,3987.5,864.9,470.86,99.87,3925.5,,,99.69,2048,,,99.64,4096,35.4,33.94,99.64,4096,35.15,33.59,2.64,10.89,12.13,0.13,0.56,0.48,1,0.45,0.27,,,,,,
Echo API,50,500,100,5000,25000,50000,2500000,0.5,0.1,2,0.2,10,5,10,,,,100,,119514,0,0,501.84,501,709,502,503,505,199.07,74.07,57.15,99.56,3961.5,98.21,83.44,0,3925.5,,,98.67,2048,,,99.97,4096,11.3,144.96,99.97,4096,11.2,289.91,0.03,0.67,4.72,0,0.02,0.17,0,0.03,0.12,,,,,,
Echo API,50,500,200,10000,25000,100000,5000000,0.25,0.1,4,0.4,10,2.5,20,,,,200,,238735,0,0,502.05,501,709,502,503,506,398.02,148.09,114.28,99.42,3962.5,105.09,68.34,99.97,3925.5,,,98.87,2048,,,99.94,4096,14.8,4923.59,99.94,4096,14.8,4923.59,0.24,0.45,2.67,0,0,0.07,0.01,0.05,0.08,,,,,,
